date_session,count_total_visitors,count_registered,free_registered_users
2022-07-01,10596,151,146
2022-07-02,2690,137,134
2022-07-03,2525,123,119
2022-07-04,3139,118,113
2022-07-05,3698,142,142
2022-07-06,3759,124,123
2022-07-07,3574,127,125
2022-07-08,3558,134,134
2022-07-09,2845,123,121
2022-07-10,3209,119,117
2022-07-11,3671,174,168
2022-07-12,4098,130,128
2022-07-13,4219,136,132
2022-07-14,3613,135,135
2022-07-15,3340,131,128
2022-07-16,2603,134,133
2022-07-17,2787,129,129
2022-07-18,5154,140,131
2022-07-19,6043,114,111
2022-07-20,5802,115,108
2022-07-21,5096,101,94
2022-07-22,4283,106,101
2022-07-23,3659,99,90
2022-07-24,4537,84,81
2022-07-25,5469,114,98
2022-07-26,5117,123,111
2022-07-27,5088,110,98
2022-07-28,5042,109,101
2022-07-29,3772,91,82
2022-07-30,2948,165,158
2022-07-31,2840,166,161
2022-08-01,11656,196,193
2022-08-02,4442,170,167
2022-08-03,4203,162,161
2022-08-04,3932,160,157
2022-08-05,3705,154,150
2022-08-06,2654,146,144
2022-08-07,3261,151,147
2022-08-08,3942,178,174
2022-08-09,3669,140,136
2022-08-10,3806,170,166
2022-08-11,3771,242,241
2022-08-12,3563,174,173
2022-08-13,2658,168,166
2022-08-14,2617,192,189
2022-08-15,5140,824,823
2022-08-16,5122,532,527
2022-08-17,4337,283,281
2022-08-18,4135,200,199
2022-08-19,3411,136,134
2022-08-20,2550,140,134
2022-08-21,2783,101,95
2022-08-22,4107,132,130
2022-08-23,4075,152,149
2022-08-24,4406,170,167
2022-08-25,4523,172,168
2022-08-26,3956,124,123
2022-08-27,2908,152,144
2022-08-28,2881,150,146
2022-08-29,3963,164,161
2022-08-30,3960,174,169
2022-08-31,4196,161,161
2022-09-01,11939,164,160
2022-09-02,3638,157,154
2022-09-03,2745,131,129
2022-09-04,3194,106,106
2022-09-05,4493,147,146
2022-09-06,4300,154,151
2022-09-07,4459,155,153
2022-09-08,4840,140,140
2022-09-09,3786,140,139
2022-09-10,2979,124,124
2022-09-11,3841,133,132
2022-09-12,4932,155,154
2022-09-13,4887,193,191
2022-09-14,4563,149,148
2022-09-15,4597,141,137
2022-09-16,4455,112,111
2022-09-17,3260,108,106
2022-09-18,3407,135,133
2022-09-19,6343,174,168
2022-09-20,6386,143,135
2022-09-21,5819,139,133
2022-09-22,5578,139,131
2022-09-23,4816,111,102
2022-09-24,4520,113,106
2022-09-25,4764,105,99
2022-09-26,5685,109,104
2022-09-27,5839,109,104
2022-09-28,6211,139,124
2022-09-29,5984,142,123
2022-09-30,4725,176,172
2022-10-01,11520,165,162
2022-10-02,3476,172,169
2022-10-03,5540,183,181
2022-10-04,4700,157,157
2022-10-05,4762,189,184
2022-10-06,5058,168,167
2022-10-07,4381,149,149
2022-10-08,3439,158,156
2022-10-09,3569,138,136
2022-10-10,5172,212,209
2022-10-11,5826,173,167
2022-10-12,5302,174,172
2022-10-13,5204,179,178
2022-10-14,4950,171,170
2022-10-15,3644,141,141
2022-10-16,3940,155,153
2022-10-17,5113,157,156
2022-10-18,5523,180,177
2022-10-19,5747,163,163
2022-10-20,5538,171,170
2022-10-21,4791,156,154
2022-10-22,3404,130,126
2022-10-23,3678,151,142
2022-10-24,4817,148,146
2022-10-25,5207,191,188
2022-10-26,6822,271,270
2022-10-27,5909,243,242
2022-10-28,4953,166,166
2022-10-29,3972,145,144
2022-10-30,4012,186,182
