original canceled date,resurrected canceled date,original created date,resurrected created date,original end date,resurrected end date,original next charge date,resurrected next charge date,original plan,resurrected plan,student_id,original subscription id,resurrected subscription id,days to resurrection
NULL,NULL,2/9/2021 19:06,2/12/2021 16:15,2/10/2021 0:00,2/21/2022 0:00,2/9/2022 0:00,2/12/2022 0:00,annual,annual,144384,3317,3351,2
1/9/2021 2:00,3/22/2021 0:00,1/28/2021 23:44,2/12/2021 17:20,2/9/2021 0:00,3/12/2022 0:00,2/9/2021 2:00,3/12/2022 0:00,monthly,annual,5974,331,3352,3
2/27/2021 0:00,8/28/2021 0:00,1/30/2021 21:41,3/6/2021 12:51,2/28/2021 0:00,9/6/2021 0:00,2/28/2021 0:00,9/6/2021 0:00,monthly,annual,143523,3220,3564,6
NULL,NULL,2/24/2021 13:40,3/10/2021 15:51,3/1/2021 0:00,NULL,2/24/2022 0:00,3/10/2023 0:00,annual,annual,145524,3470,3605,9
2/28/2021 0:00,NULL,1/28/2021 23:44,3/11/2021 17:23,3/9/2021 0:00,5/15/2021 0:00,3/9/2021 0:00,5/11/2021 0:00,annual,monthly,6131,1448,3616,2
2/20/2021 0:00,NULL,1/28/2021 23:44,3/16/2021 17:30,2/27/2021 0:00,NULL,2/27/2021 2:00,3/16/2023 0:00,monthly,annual,4537,460,3675,17
2/18/2021 0:00,3/17/2022 0:00,1/28/2021 23:44,3/17/2021 16:16,2/19/2021 0:00,3/17/2022 0:00,2/19/2021 2:00,3/17/2022 0:00,monthly,annual,5971,148,3705,26
NULL,3/19/2022 0:00,2/9/2021 23:13,3/19/2021 4:50,3/13/2021 0:00,3/19/2022 0:00,3/9/2021 0:00,3/19/2022 0:00,monthly,annual,144400,3319,3787,6
NULL,3/21/2022 0:00,1/28/2021 23:46,3/22/2021 18:01,2/18/2021 0:00,3/22/2022 0:00,2/9/2021 2:00,3/22/2022 0:00,annual,annual,9101,3180,3826,32
NULL,4/28/2021 0:00,2/21/2021 2:40,3/28/2021 10:52,3/21/2021 0:00,4/28/2021 0:00,3/21/2021 0:00,4/28/2021 0:00,monthly,monthly,5382,3423,3913,7
2/18/2021 0:00,11/30/2021 0:00,1/28/2021 23:44,3/30/2021 18:51,3/15/2021 0:00,12/30/2021 0:00,3/15/2021 0:00,12/30/2021 0:00,monthly,monthly,2501,998,3925,15
2/15/2021 0:00,10/1/2021 0:00,2/15/2021 18:25,4/1/2021 15:33,3/15/2021 0:00,11/1/2021 0:00,3/15/2021 0:00,11/1/2021 0:00,monthly,monthly,1994,3374,3940,17
NULL,NULL,2/24/2021 9:02,4/3/2021 20:03,3/28/2021 0:00,5/7/2021 0:00,3/24/2021 0:00,5/3/2021 0:00,monthly,monthly,145386,3466,3962,6
4/15/2020 3:00,4/16/2021 0:00,1/28/2021 23:46,4/16/2021 11:45,4/14/2021 0:00,4/16/2022 0:00,4/15/2021 3:00,4/16/2023 0:00,annual,annual,15345,2882,4052,2
4/15/2021 0:00,5/13/2021 0:00,3/30/2021 23:52,4/26/2021 1:09,4/20/2021 0:00,5/15/2021 0:00,4/30/2021 0:00,5/26/2021 0:00,annual,annual,8855,3928,4122,6
NULL,NULL,1/28/2021 23:46,4/26/2021 11:59,4/23/2021 0:00,NULL,4/14/2021 3:00,4/26/2023 0:00,annual,annual,37860,2908,4123,3
NULL,6/21/2021 0:00,2/18/2021 0:37,4/26/2021 18:25,3/18/2021 0:00,6/26/2021 0:00,3/18/2021 0:00,6/26/2021 0:00,monthly,monthly,18692,3404,4125,39
3/13/2021 0:00,4/27/2021 0:00,1/28/2021 23:46,4/27/2021 8:57,4/23/2021 0:00,5/27/2021 0:00,4/23/2021 3:00,5/27/2021 0:00,annual,monthly,14915,2404,4131,4
NULL,NULL,1/28/2021 23:46,5/1/2021 6:08,4/27/2021 0:00,NULL,4/18/2021 3:00,5/1/2023 0:00,annual,annual,10131,2679,4153,4
2/20/2021 0:00,6/29/2021 0:00,1/28/2021 23:44,5/1/2021 16:39,2/21/2021 0:00,7/1/2021 0:00,2/21/2021 0:00,7/1/2021 0:00,monthly,monthly,804,78,4158,69
4/20/2021 0:00,6/1/2021 0:00,1/28/2021 23:46,5/3/2021 17:44,4/22/2021 0:00,6/3/2021 0:00,4/22/2021 3:00,6/3/2021 0:00,annual,monthly,3850,2445,4174,11
3/22/2021 0:00,NULL,1/28/2021 23:46,5/4/2021 4:00,4/21/2021 0:00,NULL,4/21/2021 3:00,5/4/2023 0:00,annual,annual,14633,2549,4182,13
NULL,NULL,1/28/2021 23:46,5/11/2021 21:49,5/7/2021 0:00,NULL,4/28/2021 3:00,5/11/2023 0:00,annual,annual,9188,2093,4233,4
2/10/2021 0:00,5/16/2022 0:00,1/28/2021 23:44,5/16/2021 5:57,3/10/2021 0:00,5/17/2022 0:00,3/10/2021 0:00,5/16/2023 0:00,monthly,annual,4132,328,4251,67
4/22/2021 0:00,4/7/2022 0:00,1/28/2021 23:46,5/17/2021 7:43,4/23/2021 0:00,5/17/2022 0:00,4/23/2021 3:00,5/17/2022 0:00,annual,annual,2917,2374,4262,24
2/27/2021 0:00,5/21/2021 0:00,1/28/2021 23:44,5/17/2021 8:26,2/28/2021 0:00,6/17/2021 0:00,2/28/2021 0:00,6/17/2021 0:00,monthly,monthly,2930,1093,4263,78
NULL,NULL,3/19/2021 8:50,5/24/2021 1:06,4/23/2021 0:00,8/28/2022 0:00,4/19/2021 0:00,8/24/2022 0:00,monthly,annual,146625,3794,4303,31
4/19/2021 0:00,NULL,1/28/2021 23:46,5/28/2021 15:39,4/21/2021 0:00,NULL,4/21/2021 3:00,5/28/2023 0:00,annual,annual,5334,2550,4369,37
2/2/2020 2:00,5/30/2021 0:00,1/28/2021 23:46,5/30/2021 3:49,2/1/2021 0:00,5/30/2022 0:00,2/2/2021 2:00,5/30/2022 0:00,annual,annual,2851,3187,4398,118
5/31/2021 0:00,NULL,4/29/2021 20:56,5/31/2021 10:44,5/29/2021 0:00,10/4/2021 0:00,5/29/2021 0:00,9/30/2021 0:00,monthly,monthly,149617,4146,4446,2
3/15/2021 0:00,6/3/2022 0:00,1/28/2021 23:46,6/3/2021 10:48,4/15/2021 0:00,6/3/2022 0:00,4/15/2021 3:00,6/3/2023 0:00,annual,annual,19005,2861,4552,49
NULL,9/23/2022 0:00,1/28/2021 23:44,6/25/2021 2:10,6/16/2021 0:00,9/25/2022 0:00,6/7/2021 3:00,9/25/2022 0:00,annual,annual,9952,1932,4711,9
2/19/2021 0:00,11/18/2021 0:00,1/28/2021 23:44,6/27/2021 14:06,2/25/2021 0:00,11/27/2021 0:00,2/25/2021 2:00,11/27/2021 0:00,monthly,monthly,6408,1976,4719,122
NULL,NULL,1/28/2021 23:46,6/29/2021 3:03,3/3/2021 0:00,8/2/2021 0:00,2/27/2021 2:00,7/29/2021 0:00,monthly,monthly,3367,2216,4728,118
NULL,12/27/2021 0:00,1/28/2021 23:44,6/30/2021 14:19,6/25/2021 0:00,12/30/2021 0:00,6/21/2021 0:00,12/30/2021 0:00,monthly,monthly,5791,1363,4737,5
NULL,NULL,3/2/2021 20:36,7/1/2021 0:14,6/6/2021 0:00,9/5/2021 0:00,6/2/2021 0:00,9/1/2021 0:00,monthly,monthly,2943,3532,4739,25
NULL,NULL,1/28/2021 23:44,7/1/2021 7:40,6/26/2021 0:00,NULL,6/17/2021 3:00,7/1/2023 0:00,annual,annual,18868,1890,4742,5
NULL,NULL,4/11/2021 10:34,7/3/2021 8:36,6/15/2021 0:00,8/7/2021 0:00,6/11/2021 0:00,8/3/2021 0:00,monthly,monthly,148901,4016,4751,18
5/27/2021 0:00,7/5/2021 0:00,5/26/2021 18:20,7/5/2021 19:50,6/1/2021 0:00,8/5/2021 0:00,5/26/2022 0:00,8/5/2021 0:00,annual,monthly,156080,4333,4768,34
3/17/2021 0:00,11/13/2021 0:00,1/28/2021 23:46,7/13/2021 21:27,4/5/2021 0:00,12/13/2021 0:00,4/5/2021 3:00,12/13/2021 0:00,annual,monthly,5684,3071,4825,99
7/8/2020 3:00,7/14/2022 0:00,1/28/2021 23:44,7/14/2021 15:41,7/8/2021 0:00,7/14/2022 0:00,7/8/2021 3:00,7/14/2023 0:00,annual,annual,2324,1748,4829,6
6/4/2021 0:00,NULL,3/17/2021 12:02,7/21/2021 1:02,6/9/2021 0:00,NULL,5/17/2022 0:00,7/21/2023 0:00,annual,annual,147005,3694,4890,42
4/27/2021 0:00,NULL,1/28/2021 23:46,7/23/2021 19:22,4/28/2021 0:00,NULL,4/28/2021 3:00,7/23/2023 0:00,annual,annual,8018,2137,4927,86
5/3/2021 0:00,7/25/2022 0:00,5/1/2021 23:12,7/23/2021 23:58,6/1/2021 0:00,7/23/2023 0:00,6/1/2021 0:00,7/23/2023 0:00,annual,annual,150819,4163,4934,52
NULL,NULL,1/28/2021 23:44,7/24/2021 22:49,6/10/2021 0:00,9/28/2021 0:00,6/1/2021 3:00,9/24/2021 0:00,annual,monthly,3297,1958,4944,44
NULL,NULL,6/10/2021 10:56,7/26/2021 21:27,7/20/2021 0:00,8/30/2021 0:00,7/10/2021 0:00,8/26/2021 0:00,monthly,monthly,157184,4625,4996,6
NULL,NULL,7/18/2021 2:47,7/28/2021 13:58,7/22/2021 0:00,7/28/2022 0:00,8/18/2021 0:00,10/28/2023 0:00,monthly,annual,160452,4852,5023,6
7/20/2021 0:00,NULL,6/23/2021 19:56,7/29/2021 1:59,7/23/2021 0:00,NULL,7/23/2021 0:00,7/29/2023 0:00,monthly,annual,8974,4702,5044,6
