student_id,"Subscription Type","Subscription Type Res",max(purchase_date),created_at,price,price
618,monthly,annual,"2021-01-04 00:00:00","2021-01-13 00:00:00",42.5,205.02
810,monthly,annual,"2021-02-28 14:48:38","2021-03-16 19:04:32",36,127.98
830,monthly,annual,"2021-02-06 00:37:09","2021-02-06 00:41:26",36,116.25
908,monthly,annual,"2020-09-28 00:00:00","2020-10-02 03:00:00",38.25,139.2
916,monthly,annual,"2021-06-27 08:51:20","2021-09-25 08:27:08",30.5,77.96
1039,monthly,annual,"2020-11-17 00:00:00","2020-11-30 00:00:00",36,139.2
1045,monthly,annual,"2020-11-27 00:00:00","2021-01-11 00:00:00",35.04,186.44
1159,monthly,annual,"2021-04-13 10:10:08","2022-06-01 03:05:13",36,150.56
1215,monthly,annual,"2021-05-28 15:26:17","2021-09-25 08:21:36",33.91,143.11
1221,monthly,annual,"2021-01-11 00:00:00","2021-11-26 18:47:18",45.85,139.88
1271,monthly,lifetime,"2021-06-27 08:41:43","2022-05-27 22:37:38",31.05,240
1292,monthly,annual,"2021-01-25 00:00:00","2021-05-27 23:57:40",36,92.09
1357,monthly,annual,"2020-11-30 00:00:00","2021-01-16 00:00:00",44.99,209.2
1362,monthly,annual,"2021-02-03 08:55:40","2021-08-23 14:56:44",37.21,98.99
1378,monthly,annual,"2021-02-23 01:16:57","2021-03-17 13:45:16",28.8,181.45
1404,monthly,annual,"2020-10-25 00:00:00","2021-01-15 00:00:00",35.08,209.01
1426,monthly,annual,"2020-10-13 00:00:00","2020-12-03 00:00:00",36,160.08
1500,monthly,annual,"2021-02-26 09:28:20","2021-07-27 07:40:35",42.36,121.49
1563,monthly,annual,"2021-05-09 01:38:11","2022-06-26 13:08:15",36,99
1626,monthly,annual,"2020-07-04 00:00:00","2021-01-22 00:00:00",28.8,174
1732,monthly,annual,"2021-03-18 09:37:42","2021-04-18 08:57:20",43.72,142.64
1773,monthly,annual,"2021-02-21 08:46:54","2021-03-15 15:47:08",38.77,143.87
1896,monthly,annual,"2020-08-05 00:00:00","2021-01-21 00:00:00",36,200.1
1923,monthly,annual,"2021-04-06 10:24:14","2022-02-17 12:22:48",36,99
1924,monthly,annual,"2020-04-06 00:00:00","2021-01-20 00:00:00",36,174
1977,monthly,annual,"2020-11-25 00:00:00","2020-12-04 00:00:00",46.85,166.91
2055,monthly,annual,"2020-10-20 00:00:00","2021-03-23 15:05:59",36,159.88
2113,monthly,annual,"2021-01-02 02:00:00","2021-01-19 00:00:00",36,184.88
2274,monthly,annual,"2020-04-29 00:00:00","2020-11-23 00:00:00",44.98,149.99
2585,monthly,annual,"2021-03-11 10:53:30","2021-03-16 18:13:27",27.07,124.35
2591,monthly,annual,"2021-06-07 08:31:57","2021-11-24 01:51:16",38.38,126.25
2629,monthly,annual,"2021-02-15 06:05:33","2021-03-25 04:52:54",36,176.79
2680,monthly,annual,"2021-05-08 09:31:17","2021-06-01 09:27:46",30.79,160.45
2764,monthly,annual,"2021-06-27 09:42:15","2021-08-30 16:18:02",42.73,217.65
2815,monthly,annual,"2020-12-29 02:00:00","2021-01-14 00:00:00",33.12,200.1
2866,monthly,annual,"2021-05-09 08:38:15","2021-06-11 09:03:48",39.79,125.71
2917,monthly,annual,"2021-05-17 07:43:01","2021-05-31 09:02:17",37.8,130.71
2973,monthly,annual,"2022-06-13 09:07:59","2022-06-14 10:59:50",37.73,346.77
2984,monthly,annual,"2021-09-17 02:08:21","2022-02-14 16:57:58",36,99
3016,monthly,annual,"2020-08-16 00:00:00","2021-01-12 00:00:00",36,174
3075,monthly,annual,"2021-12-12 02:18:36","2022-02-15 01:16:39",36,99
3146,monthly,annual,"2020-09-16 00:00:00","2020-09-18 00:00:00",37.8,187.6
3148,monthly,annual,"2021-07-12 22:02:31","2022-08-29 15:42:22",38.66,99.52
3195,monthly,annual,"2021-01-14 00:00:00","2021-08-25 23:39:24",35.96,98.87
3221,monthly,annual,"2020-04-18 00:00:00","2020-04-23 00:00:00",36,168.28
3256,monthly,annual,"2020-12-15 00:00:00","2021-08-27 13:35:47",21.63,118.32
3272,monthly,annual,"2021-11-26 10:09:33","2021-11-30 14:00:45",42.18,107.51
3466,monthly,annual,"2020-09-06 00:00:00","2020-09-25 00:00:00",28.8,174
3468,monthly,annual,"2021-01-02 00:00:00","2021-01-18 00:00:00",42.61,208.73
3698,monthly,annual,"2020-06-29 00:00:00","2020-07-23 00:00:00",38.25,99.76
3779,monthly,annual,"2021-02-17 09:04:18","2021-03-16 05:12:10",36,137.6
3791,monthly,annual,"2020-12-27 00:00:00","2021-10-04 09:57:34",34,164.13
4016,monthly,lifetime,"2021-09-13 06:52:15","2022-07-29 19:21:17",27,240
4056,monthly,annual,"2021-03-17 01:12:54","2022-06-30 07:48:57",28.8,99
4059,monthly,annual,"2021-02-19 01:52:50","2021-07-26 07:13:16",36,99.96
4132,monthly,annual,"2021-02-10 09:04:38","2021-05-16 05:57:18",38.38,196.61
4167,monthly,annual,"2021-03-16 10:54:58","2022-09-20 14:52:54",46.99,149.45
4452,monthly,annual,"2020-11-30 00:00:00","2022-02-15 01:56:36",36,99
4514,monthly,annual,"2021-02-28 15:33:54","2021-03-18 15:31:36",36,149.85
4537,monthly,annual,"2021-01-27 00:00:00","2021-03-16 17:30:30",29.12,150.04
4562,monthly,annual,"2020-07-30 00:00:00","2020-12-30 00:00:00",36,184.44
4568,monthly,annual,"2020-11-09 00:00:00","2020-12-29 00:00:00",36,184.44
4613,monthly,annual,"2021-03-24 08:29:17","2021-03-24 14:24:47",28.8,121.18
4707,monthly,annual,"2020-10-18 00:00:00","2020-11-26 00:00:00",36,139.2
4739,monthly,annual,"2021-01-29 10:42:10","2021-05-31 13:38:39",38.99,164.95
4810,monthly,annual,"2021-02-10 17:24:41","2021-03-18 15:19:34",36,94.1
4837,monthly,annual,"2020-04-16 00:00:00","2020-04-28 00:00:00",36,139.2
4843,monthly,lifetime,"2021-07-14 02:53:38","2021-08-18 05:00:20",36,264.99
4958,monthly,annual,"2021-03-26 09:42:06","2021-04-21 20:59:50",36.8,316.98
4969,monthly,annual,"2020-09-04 00:00:00","2020-09-22 00:00:00",38.61,186.62
5278,monthly,annual,"2020-10-27 00:00:00","2020-11-24 00:00:00",36.51,174.03
5470,monthly,annual,"2021-01-15 00:00:00","2022-10-20 12:29:11",37.8,99
5474,monthly,annual,"2020-10-20 00:00:00","2020-11-27 00:00:00",31.36,139.2
5955,monthly,annual,"2022-01-02 09:29:55","2022-02-15 13:05:32",19.15,99
5971,monthly,annual,"2021-01-19 00:00:00","2021-03-17 16:16:42",43.48,149.98
5974,monthly,annual,"2021-03-12 09:19:06","2021-03-22 20:30:28",36,158.21
6401,monthly,annual,"2020-04-04 00:00:00","2020-04-15 03:00:00",31.18,139.2
6408,monthly,annual,"2021-10-27 08:36:21","2021-11-29 04:28:27",38.3,126.25
6475,monthly,annual,"2020-12-01 00:00:00","2021-12-01 16:20:53",38.38,126.25
6808,monthly,annual,"2021-08-19 10:42:28","2021-08-27 14:40:27",34.37,189.17
7246,monthly,annual,"2020-09-25 00:00:00","2020-11-29 00:00:00",36,139.2
7539,monthly,annual,"2020-04-17 00:00:00","2020-05-07 00:00:00",36,139.2
7658,monthly,annual,"2020-06-24 00:00:00","2020-07-19 00:00:00",30.24,193.66
8134,monthly,annual,"2020-04-28 00:00:00","2020-04-30 03:00:00",36,139.2
8425,monthly,annual,"2020-09-24 00:00:00","2020-09-26 00:00:00",36,174
8543,monthly,annual,"2020-10-22 00:00:00","2021-08-25 18:20:44",42.27,109.26
8855,monthly,annual,"2021-05-15 01:22:06","2021-05-27 19:43:30",29.16,138.78
8974,monthly,annual,"2021-06-23 19:56:24","2021-07-29 01:59:38",36.7,169.34
9305,monthly,annual,"2021-05-04 05:08:53","2021-05-30 16:52:10",36,163.29
9377,monthly,annual,"2021-02-10 09:28:08","2022-10-20 09:22:07",36,52.06
9808,monthly,annual,"2021-01-28 00:00:00","2022-05-26 21:57:48",36,149.99
9812,monthly,annual,"2021-10-30 08:09:27","2021-11-25 18:29:02",41.55,124.86
9952,monthly,annual,"2020-05-18 00:00:00","2020-06-07 00:00:00",36,348
10002,monthly,annual,"2021-03-15 08:53:47","2021-03-15 16:17:38",48.46,136.05
10131,monthly,annual,"2020-03-27 00:00:00","2020-04-18 00:00:00",28.8,139.2
11285,monthly,annual,"2020-09-29 00:00:00","2020-10-01 00:00:00",45.83,208.69
11325,monthly,annual,"2020-09-28 00:00:00","2021-05-25 16:18:40",48.57,149.9
12284,monthly,annual,"2021-03-13 08:24:09","2021-11-27 06:57:16",36,118.66
12774,monthly,annual,"2020-04-19 00:00:00","2020-04-27 00:00:00",39.97,153.33
12868,monthly,annual,"2020-06-28 00:00:00","2020-07-08 00:00:00",31.25,188.79
13651,monthly,annual,"2020-06-30 00:00:00","2020-07-17 00:00:00",29.66,174.22
14126,monthly,annual,"2020-07-07 00:00:00","2020-09-06 00:00:00",39.06,200.12
14361,monthly,annual,"2020-09-11 00:00:00","2020-09-15 00:00:00",36,174
14629,monthly,annual,"2021-06-01 08:37:09","2021-06-03 17:44:01",28.8,122.28
16725,monthly,annual,"2021-02-22 01:25:15","2021-03-18 05:11:16",36,149.98
18692,monthly,annual,"2021-05-26 10:24:46","2021-11-26 19:09:10",36,118.66
