date_registered,count_total_free,count_converted
2022-10-31,117,0
2022-10-30,136,4
2022-10-29,101,2
2022-10-28,123,5
2022-10-27,178,4
2022-10-26,192,3
2022-10-25,136,2
2022-10-24,133,3
2022-10-23,110,3
2022-10-22,110,0
2022-10-21,124,2
2022-10-20,125,0
2022-10-19,119,2
2022-10-18,142,0
2022-10-17,121,2
2022-10-16,111,4
2022-10-15,106,2
2022-10-14,131,4
2022-10-13,143,3
2022-10-12,148,3
2022-10-11,128,5
2022-10-10,162,3
2022-10-09,115,5
2022-10-08,132,3
2022-10-07,129,1
2022-10-06,146,8
2022-10-05,147,3
2022-10-04,134,5
2022-10-03,147,3
2022-10-02,133,3
2022-10-01,114,2
2022-09-30,139,3
2022-09-29,89,5
2022-09-28,92,5
2022-09-27,71,1
2022-09-26,85,5
2022-09-25,81,3
2022-09-24,78,2
2022-09-23,90,4
2022-09-22,107,9
2022-09-21,98,6
2022-09-20,105,4
2022-09-19,141,7
2022-09-18,116,4
2022-09-17,97,4
2022-09-16,111,8
2022-09-15,124,1
2022-09-14,143,2
2022-09-13,171,6
2022-09-12,124,2
2022-09-11,125,5
2022-09-10,94,0
2022-09-09,127,3
2022-09-08,119,2
2022-09-07,134,8
2022-09-06,124,4
2022-09-05,137,6
2022-09-04,98,1
2022-09-03,106,5
2022-09-02,136,5
2022-09-01,134,4
2022-08-31,149,9
2022-08-30,154,7
2022-08-29,143,2
2022-08-28,124,4
2022-08-27,118,2
2022-08-26,116,2
2022-08-25,150,4
2022-08-24,142,2
2022-08-23,133,2
2022-08-22,125,3
2022-08-21,86,2
2022-08-20,130,4
2022-08-19,125,3
2022-08-18,207,6
2022-08-17,271,10
2022-08-16,480,4
2022-08-15,725,7
2022-08-14,162,2
2022-08-13,148,4
2022-08-12,151,1
2022-08-11,233,1
2022-08-10,153,3
2022-08-09,138,5
2022-08-08,155,7
2022-08-07,129,4
2022-08-06,126,5
2022-08-05,134,1
2022-08-04,139,7
2022-08-03,146,4
2022-08-02,138,9
2022-08-01,182,5
2022-07-31,146,3
2022-07-30,132,3
2022-07-29,88,10
2022-07-28,85,3
2022-07-27,83,6
2022-07-26,96,10
2022-07-25,84,13
2022-07-24,68,4
2022-07-23,80,8
2022-07-22,76,5
2022-07-21,72,6
2022-07-20,76,3
2022-07-19,94,5
2022-07-18,106,5
2022-07-17,108,3
2022-07-16,120,7
2022-07-15,111,5
2022-07-14,123,5
2022-07-13,114,4
2022-07-12,115,5
2022-07-11,155,6
2022-07-10,98,2
2022-07-09,107,8
2022-07-08,121,6
2022-07-07,115,5
2022-07-06,122,4
2022-07-05,131,11
2022-07-04,109,3
2022-07-03,95,9
2022-07-02,113,5
2022-07-01,128,6
2022-06-30,122,2
2022-06-29,129,5
2022-06-28,116,5
2022-06-27,125,6
2022-06-26,104,1
2022-06-25,89,3
2022-06-24,111,2
2022-06-23,109,3
2022-06-22,103,6
2022-06-21,121,6
2022-06-20,180,7
2022-06-19,172,8
2022-06-18,138,3
2022-06-17,128,5
2022-06-16,131,4
2022-06-15,117,8
2022-06-14,131,7
2022-06-13,126,4
2022-06-12,93,6
2022-06-11,117,6
2022-06-10,107,3
2022-06-09,108,1
2022-06-08,144,8
2022-06-07,135,4
2022-06-06,137,3
2022-06-05,104,1
2022-06-04,118,4
2022-06-03,227,6
2022-06-02,435,4
2022-06-01,190,5
2022-05-31,88,13
2022-05-30,94,10
2022-05-29,72,2
2022-05-28,57,6
2022-05-27,83,5
2022-05-26,88,7
2022-05-25,89,8
2022-05-24,76,8
2022-05-23,109,5
2022-05-22,77,2
2022-05-21,76,6
2022-05-20,92,5
2022-05-19,114,8
2022-05-18,106,3
2022-05-17,87,3
2022-05-16,109,4
2022-05-15,87,3
2022-05-14,106,2
2022-05-13,117,4
2022-05-12,121,4
2022-05-11,134,4
2022-05-10,128,5
2022-05-09,98,3
2022-05-08,98,2
2022-05-07,76,4
2022-05-06,97,5
2022-05-05,86,6
2022-05-04,105,3
2022-05-03,99,1
2022-05-02,85,4
2022-05-01,74,4
2022-04-30,72,2
2022-04-29,109,1
2022-04-28,100,4
2022-04-27,113,6
2022-04-26,108,6
2022-04-25,105,7
2022-04-24,105,9
2022-04-23,98,2
2022-04-22,95,2
2022-04-21,111,4
2022-04-20,82,4
2022-04-19,111,6
2022-04-18,98,5
2022-04-17,85,7
2022-04-16,91,3
2022-04-15,91,5
2022-04-14,88,3
2022-04-13,122,7
2022-04-12,108,5
2022-04-11,114,6
2022-04-10,120,2
2022-04-09,98,8
2022-04-08,132,6
2022-04-07,115,8
2022-04-06,107,3
2022-04-05,110,5
2022-04-04,118,6
2022-04-03,116,10
2022-04-02,122,1
2022-04-01,128,2
2022-03-31,111,4
2022-03-30,110,7
2022-03-29,83,7
2022-03-28,86,8
2022-03-27,79,5
2022-03-26,59,3
2022-03-25,69,3
2022-03-24,81,3
2022-03-23,71,7
2022-03-22,95,6
2022-03-21,104,3
2022-03-20,109,6
2022-03-19,114,5
2022-03-18,139,8
2022-03-17,133,4
2022-03-16,147,7
2022-03-15,165,3
2022-03-14,150,4
2022-03-13,120,5
2022-03-12,136,2
2022-03-11,149,6
2022-03-10,124,6
2022-03-09,146,13
2022-03-08,151,9
2022-03-07,183,2
2022-03-06,105,6
2022-03-05,87,3
2022-03-04,108,4
2022-03-03,116,2
2022-03-02,116,7
