date_paid,country,channel,count_paid
2022-10-31,BG,Organic,1
2022-10-31,GB,Organic,1
2022-10-31,IN,Organic,1
2022-10-31,LB,Organic,1
2022-10-31,SA,Organic,2
2022-10-31,SE,Organic,1
2022-10-31,TR,Organic,1
2022-10-31,US,Organic,1
2022-10-30,DE,Organic,1
2022-10-30,FR,Organic,1
2022-10-30,NL,Organic,1
2022-10-30,OM,Organic,1
2022-10-30,SA,Organic,1
2022-10-30,US,Organic,2
2022-10-29,IE,Organic,1
2022-10-29,IN,Organic,1
2022-10-29,MK,Organic,1
2022-10-29,MU,Organic,1
2022-10-29,PH,Organic,1
2022-10-29,US,Organic,3
2022-10-28,BR,Organic,1
2022-10-28,EC,Organic,1
2022-10-28,SG,Organic,1
2022-10-28,US,Organic,3
2022-10-27,EG,Organic,1
2022-10-27,GB,Organic,1
2022-10-27,PK,Organic,1
2022-10-27,US,Organic,1
2022-10-26,BR,kjeeone,1
2022-10-26,CL,Organic,1
2022-10-26,PE,Organic,1
2022-10-26,US,Organic,4
2022-10-25,RS,Organic,1
2022-10-25,TR,Organic,1
2022-10-25,US,Organic,4
2022-10-24,BG,Organic,1
2022-10-24,EG,Organic,1
2022-10-24,GB,Organic,1
2022-10-24,IN,Organic,1
2022-10-24,NL,Organic,1
2022-10-24,SA,Organic,1
2022-10-24,US,Organic,2
2022-10-23,DE,Organic,1
2022-10-23,GB,Organic,1
2022-10-23,US,Organic,4
2022-10-23,US,infusionsoft,1
2022-10-22,AT,Organic,1
2022-10-22,BG,Organic,1
2022-10-22,BR,kjeeone,1
2022-10-22,GB,Organic,1
2022-10-22,IN,Organic,1
2022-10-22,US,hellotinah,1
2022-10-21,AU,Organic,1
2022-10-21,GB,Organic,1
2022-10-21,GB,infusionsoft,1
2022-10-21,US,Organic,1
2022-10-20,GB,Organic,2
2022-10-20,IN,Couponnxt,1
2022-10-20,IN,Organic,1
2022-10-20,NL,Organic,1
2022-10-20,PK,Organic,1
2022-10-19,CA,Organic,2
2022-10-19,ES,Organic,1
2022-10-19,PH,Organic,1
