user_id,current status,plan,tag
31,1,Annual,Base
235,1,Annual,Base
591,1,Annual,Base
616,1,Annual,Base
618,1,Annual,Base
674,1,Monthly,Base
709,1,Annual,Base
768,1,Annual,Base
782,1,Annual,Base
830,3,Annual,Base
838,1,Annual,Base
849,1,Quarterly,Base
863,1,Monthly,Base
865,2,Annual,Base
869,1,Annual,Base
872,1,Annual,Base
884,1,Annual,Base
893,3,Annual,Base
893,3,Annual,Churned
911,2,Annual,Base
916,2,Annual,Base
917,2,Annual,Base
939,1,Annual,Base
947,1,Annual,Base
988,1,Annual,Base
991,2,Annual,Base
998,1,Annual,Base
999,1,Monthly,Base
1002,1,Annual,Base
1008,1,Annual,Base
1016,1,Annual,Base
1019,1,Annual,Base
1023,1,Annual,Base
1024,2,Annual,Base
1029,1,Annual,Base
1036,3,Annual,Base
1040,1,Annual,Base
1041,1,Annual,Base
1046,1,Annual,Base
1069,2,Annual,Base
1094,2,Annual,Base
1102,1,Annual,Base
1119,1,Annual,Base
1132,1,Annual,Base
1145,3,Annual,Base
1155,1,Annual,Base
1156,2,Annual,Base
1159,1,Annual,Base
1165,1,Annual,Base
1173,1,Annual,Base
1176,2,Annual,Base
1183,1,Annual,Base
1188,1,Annual,Base
1201,1,Annual,Base
1207,1,Annual,Base
1221,1,Annual,Base
1235,3,Annual,Base
1242,2,Annual,Base
1244,1,Annual,Base
1246,1,Annual,Base
1266,1,Annual,Base
1270,1,Annual,Base
1283,1,Annual,Base
1285,1,Annual,Base
1299,1,Annual,Base
1306,1,Annual,Base
1317,1,Annual,Base
1327,1,Annual,Base
1351,1,Annual,Base
1355,1,Annual,Base
1362,1,Annual,Base
1374,1,Annual,Resurrected
1382,1,Annual,Resurrected
1404,3,Annual,Base
1411,1,Annual,Base
1419,3,Annual,Base
1426,3,Annual,Base
1436,1,Monthly,Base
1448,1,Monthly,Base
1465,1,Annual,Base
1468,1,Annual,Base
1473,3,Annual,Base
1482,1,Annual,Base
1486,3,Monthly,Base
1486,3,Monthly,Churned
1490,1,Annual,Base
1500,1,Annual,Base
1501,2,Annual,Base
1508,1,Annual,Base
1513,3,Annual,Base
1517,2,Annual,Base
1522,1,Annual,Base
1534,1,Annual,Base
1537,2,Annual,Base
1538,3,Annual,Base
1539,1,Annual,Base
1542,1,Annual,Base
1543,3,Annual,Base
1546,1,Annual,Base
1552,1,Annual,Base
1558,1,Annual,Base
1561,1,Annual,Base
1563,1,Annual,Base
1567,1,Annual,Base
1587,2,Annual,Base
1594,1,Annual,Base
1600,1,Annual,Base
1619,1,Annual,Base
1633,1,Annual,Base
1638,1,Annual,Base
1651,1,Annual,Base
1652,1,Annual,Base
1654,1,Annual,Base
1659,1,Annual,Base
1669,1,Annual,Base
1678,1,Annual,Base
1702,1,Annual,Base
1706,2,Quarterly,Base
1711,1,Annual,Base
1727,1,Annual,Base
1732,2,Annual,Base
1749,1,Monthly,Base
1751,1,Monthly,Base
1753,2,Annual,Base
1754,1,Annual,Base
1764,1,Annual,Base
1770,1,Annual,Base
1773,1,Annual,Base
1775,1,Annual,Base
1778,2,Annual,Base
1781,1,Annual,Base
1784,1,Annual,Base
1791,1,Annual,Base
1794,1,Annual,Base
1795,1,Annual,Base
1801,2,Annual,Base
1809,1,Annual,Base
1819,1,Annual,Base
1827,2,Annual,Base
1863,1,Annual,Base
1864,1,Annual,Base
1880,1,Annual,Base
1883,1,Annual,Base
1890,1,Monthly,Base
1897,1,Annual,Base
1898,1,Annual,Base
1901,3,Annual,Base
1909,2,Annual,Base
1914,1,Annual,Base
1918,2,Annual,Base
1923,1,Annual,Base
1928,2,Annual,Base
1930,1,Annual,Base
1938,1,Annual,Base
1950,1,Annual,Base
1956,1,Annual,Base
1974,2,Annual,Base
1977,1,Annual,Base
2003,1,Annual,Base
2018,1,Annual,Base
2019,2,Annual,Base
2024,2,Annual,Base
2026,1,Annual,Base
2033,1,Annual,Base
2051,1,Annual,Base
2055,1,Annual,Base
2063,1,Annual,Base
2066,1,Annual,Base
2070,2,Annual,Base
2073,1,Annual,Base
2084,1,Annual,Base
2103,1,Annual,Base
2104,1,Annual,Resurrected
2110,1,Annual,Base
2112,2,Annual,Base
2113,3,Annual,Base
2130,1,Annual,Base
2135,1,Annual,Base
2136,1,Annual,Base
2188,1,Annual,Base
2195,1,Annual,Base
2205,1,Annual,Base
2213,1,Annual,Base
2217,1,Annual,Base
2218,3,Annual,Churned
2218,3,Annual,Base
2230,1,Annual,Base
2233,1,Annual,Base
2236,1,Annual,Base
2243,1,Annual,Base
2248,1,Annual,Base
2255,3,Annual,Base
2256,3,Annual,Base
2256,3,Annual,Churned
2258,2,Annual,Base
2259,1,Annual,Base
2266,1,Annual,Base
2270,1,Annual,Base
2271,1,Annual,Base
2274,2,Annual,Base
2275,1,Annual,Base
2279,1,Annual,Base
2284,1,Annual,Base
2289,1,Annual,Base
2290,3,Annual,Churned
2290,3,Annual,Base
2292,2,Annual,Base
2294,1,Annual,Base
2300,1,Annual,Base
2303,1,Monthly,Base
2304,1,Annual,Base
2332,1,Annual,Base
2359,1,Annual,Base
2373,1,Annual,Base
2397,1,Annual,Base
2398,1,Annual,Base
2416,1,Annual,Base
2417,1,Annual,Base
2429,1,Annual,Base
2431,3,Annual,Base
2491,1,Annual,Base
2506,1,Annual,Base
2514,1,Annual,Base
2526,1,Annual,Base
2534,1,Annual,Base
2545,1,Annual,Base
2546,1,Annual,Base
2565,3,Annual,Base
2578,1,Monthly,Base
2591,1,Annual,Base
2620,1,Annual,Base
2636,1,Annual,Base
2643,3,Annual,Base
2643,3,Annual,Churned
2677,1,Annual,Base
2683,1,Annual,Base
2684,1,Annual,Base
2687,1,Annual,Base
2690,1,Annual,Base
2708,3,Annual,Churned
2708,3,Annual,Base
2716,2,Annual,Base
2723,1,Annual,Base
2725,1,Annual,Base
2731,1,Annual,Base
2734,1,Monthly,Base
2741,1,Annual,Base
2770,2,Annual,Base
2793,3,Annual,Churned
2793,3,Annual,Base
2813,3,Annual,Base
2819,1,Annual,Base
2824,1,Annual,Base
2827,1,Annual,Base
2833,1,Annual,Base
2840,1,Annual,Base
2849,1,Annual,Base
2881,1,Annual,Base
2887,1,Annual,Base
2899,1,Annual,Base
2919,2,Annual,Base
2925,1,Annual,Base
2928,1,Annual,Base
2933,1,Annual,Base
2945,1,Annual,Base
2950,2,Annual,Base
2954,1,Annual,Base
2967,1,Annual,Base
